Title,Date of Posting,Company Name,Company Website,Location,Job Link,Skills Required Keywords,Education
Data Scientist,2 days ago,NPAworldwide,https://www.linkedin.com/company/npa-the-worldwide-recruiting-network?trk=public_jobs_jserp-result_job-search-card-subtitle,"Buffalo, NY Be an early applicant 11 hours ago",https://www.linkedin.com/jobs/view/data-scientist-at-npaworldwide-3726239283?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=wTF0XRAecKwoQZ6J9M8s%2BA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,[],bachelor degree
"Data Scientist, Vice President",2 days ago,Cerberus Capital Management,https://www.linkedin.com/company/cerberus-capital-management?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY Actively Hiring +7 benefits 1 hour ago",https://www.linkedin.com/jobs/view/data-scientist-vice-president-at-cerberus-capital-management-3729558262?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=FlGOn0W%2BOzSHv1S9HSU8PA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,[],bachelor degree
Junior Data Scientist - US,2 days ago,Pattern Learning AI - Career & Tech Recruitment Reimagined!,https://www.linkedin.com/company/careerwithpatternlearning?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY 2 days ago",https://www.linkedin.com/jobs/view/junior-data-scientist-us-at-pattern-learning-ai-career-tech-recruitment-reimagined%21-3728166666?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=aOFqb1X%2FoonBMivMrtiNNw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,[],bachelor degree
Data Engineer (Entry Level) - US/Canada,2 days ago,Pattern Learning AI - Career & Tech Recruitment Reimagined!,https://www.linkedin.com/company/careerwithpatternlearning?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY Be an early applicant 7 hours ago",https://www.linkedin.com/jobs/view/data-engineer-entry-level-us-canada-at-pattern-learning-ai-career-tech-recruitment-reimagined%21-3729477483?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=ZTYaBHQ00htegbQmWXi2Jw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"['backgrounds', 'opportunity', 'life', 'work', 'practices', 'environment', 'vacation', 'love', 'platform', 'mission', 'match', 'problems', 'technology', 'people', 'frameworks', 'support', 'governance', 'world', 'data', 'problem', 'organization', 'platforms', 'skills', 'coworkers', 'days']",bachelor degree
Data Scientist,2 days ago,Barclays Corporate & Investment Bank,https://www.linkedin.com/company/barclays-corporate-and-investment-bank?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY Actively Hiring 1 hour ago",https://www.linkedin.com/jobs/view/data-scientist-at-barclays-corporate-investment-bank-3706332898?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=y1e0BZ6OHFqIDR9deHb7Ew%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,['statistics'],bachelor degree
Full Stack Web Developer (Entry Level),2 days ago,Pattern Learning AI - Career & Tech Recruitment Reimagined!,https://www.linkedin.com/company/careerwithpatternlearning?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY Be an early applicant 7 hours ago",https://www.linkedin.com/jobs/view/full-stack-web-developer-entry-level-at-pattern-learning-ai-career-tech-recruitment-reimagined%21-3729475889?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=qzYi9GfJQ%2FS65Airv9J8Hg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"['NoSQL', 'backgrounds', 'work', 'environment', 'vacation', 'love', 'database', 'platform', 'mission', 'problems', 'technology', 'development', 'people', 'portfolio', 'frameworks', 'support', 'world', 'problem', 'organization', 'platforms', 'coworkers', 'days401(k']",bachelor degree
Junior Data Scientist Engineer,2 days ago,Pattern Learning AI - Career & Tech Recruitment Reimagined!,https://www.linkedin.com/company/careerwithpatternlearning?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY 2 days ago",https://www.linkedin.com/jobs/view/junior-data-scientist-engineer-at-pattern-learning-ai-career-tech-recruitment-reimagined%21-3728166711?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=5kVMTy9DYnT%2F2TsfgHHz0A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"['backgrounds', 'spreadsheets', 'work', 'vacation', 'mission', 'problems', 'technology', 'deadlines', 'people', 'support', 'world', 'holidays', 'problem', 'organization', 'architecture', 'specs', 'coworkers', 'days401(k', 'thinking']",bachelor degree
Entry Level Data Scientist (Remote),2 days ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY Be an early applicant 5 days ago",https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3725986490?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=9LVL81pJK8bTYGPnZYyvJQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"['projects', 'experience', 'site', 'Project', 'skills', 'gain', 'work', 'clients', 'candidate', 'candidatesplease', 'cycle', 'language', 'enhancement', 'calls', 'communication', 'degree', 'candidates', 'position']",bachelor degree
Data Scientist (remote),2 days ago,Pearson,https://uk.linkedin.com/company/pearson?trk=public_jobs_jserp-result_job-search-card-subtitle,"Albany, NY Be an early applicant 16 hours ago",https://www.linkedin.com/jobs/view/data-scientist-remote-at-pearson-3726216232?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=S8qtm2ncvISKMZ56nhPw6Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"['sense', 'backgrounds', 'work', 'vision', 'accommodations', 'learn', 'potential', 'applicants', 'process', 'perspectives', 'decisions', 'group', 'differences', 'information', 'workforce', 'employment', 'diversity', 'team', 'law', 'inclusion', 'culture', 'communities', 'individuals', 'status', 'use', 'People']",bachelor degree
Data Analyst 2 - 95087,2 days ago,New York State Department of Health,https://www.linkedin.com/company/nysdoh?trk=public_jobs_jserp-result_job-search-card-subtitle,"Albany, NY 17 hours ago",https://www.linkedin.com/jobs/view/data-analyst-2-95087-at-new-york-state-department-of-health-3729176337?refId=4KjBAK%2BjhLG4RhaVmTqm3w%3D%3D&trackingId=aQ4u5igq6QY1XH8383l9jQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"['capabilities', 'fields', 'analysts', 'languages', 'performance', 'vision', 'efforts', 'interest', 'vacation', 'leave', 'staff', 'problems', 'experience', 'resources', 'reports', 'Qualifications', 'results', 'visualizations', 'structures', 'package', 'solutions', 'programs', 'patterns', 'repositories', 'dependents', 'years', 'access', 'datasets', 'holidays', 'data', 'outcomes', 'produce', 'vendors', 'methods', 'tests', 'devises', 'conducts', 'tools', 'analyses', 'days', 'sources', 'leadership']",bachelor degree
